Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.261721	3.983154	4.254000	7.440000	
0.100000	3.911594	3.826858	8.570000	11.140000	
0.100000	3.736083	3.641096	11.784000	13.410000	
0.100000	3.625807	3.597592	13.816000	13.670000	
0.100000	3.569181	3.571547	15.078000	15.660000	
0.100000	3.510386	3.484516	16.082000	18.030000	
0.100000	3.485792	3.435533	16.844000	18.760000	
0.100000	3.446771	3.417514	17.762000	17.380000	
0.100000	3.448006	3.389939	18.018000	19.020000	
0.100000	3.439339	3.457210	18.048000	17.400000	
0.100000	3.406586	3.387023	18.516000	18.220000	
0.100000	3.396806	3.396517	18.606000	19.340000	
0.100000	3.377128	3.373858	19.096000	19.510000	
0.100000	3.391858	3.380629	18.892000	19.370000	
0.100000	3.407735	3.329638	18.738000	20.620000	
0.100000	3.389918	3.320144	19.134000	19.860000	
0.100000	3.396455	3.314258	19.006000	19.940000	
0.100000	3.379117	3.333290	19.084000	19.770000	
0.100000	3.368469	3.313234	19.492000	20.210000	
0.100000	3.359108	3.303567	19.656000	21.320000	
0.100000	3.347498	3.324918	19.740000	20.300000	
0.100000	3.354733	3.439896	19.814000	18.310000	
0.100000	3.337126	3.273994	20.348000	20.710000	
0.100000	3.349557	3.284925	20.008000	20.770000	
0.100000	3.345922	3.309245	20.016000	20.920000	
0.100000	3.340752	3.351174	19.994000	19.420000	
0.100000	3.373305	3.317802	19.616000	21.130000	
0.100000	3.348117	3.249377	20.012000	22.070000	
0.100000	3.336473	3.302595	20.336000	21.230000	
0.100000	3.346600	3.247989	20.206000	21.600000	
0.100000	3.312523	3.302740	20.666000	21.000000	
0.100000	3.342853	3.361443	20.306000	20.510000	
0.100000	3.329956	3.313671	20.450000	21.680000	
0.100000	3.332948	3.417709	20.402000	19.620000	
0.100000	3.317006	3.180848	20.742000	22.270000	
0.100000	3.342199	3.344548	20.116000	20.020000	
0.100000	3.319968	3.371605	20.612000	19.760000	
0.100000	3.325597	3.276433	20.414000	21.660000	
0.100000	3.332427	3.461703	20.258000	19.220000	
0.100000	3.333160	3.408139	20.194000	18.840000	
0.100000	3.341316	3.348966	20.414000	20.910000	
0.100000	3.334366	3.286075	20.344000	22.380000	
0.100000	3.315325	3.423954	20.508000	18.940000	
0.100000	3.305513	3.298805	21.042000	21.350000	
0.100000	3.325479	3.361378	20.488000	20.250000	
0.100000	3.315391	3.261740	20.592000	21.650000	
0.100000	3.317736	3.319191	20.756000	21.080000	
0.100000	3.320886	3.291165	20.904000	19.540000	
0.100000	3.298812	3.311296	21.094000	20.280000	
0.100000	3.333659	3.268478	20.558000	21.970000	
0.100000	3.306052	3.272984	20.912000	21.370000	
0.100000	3.310966	3.225413	20.726000	21.920000	
0.100000	3.306156	3.237002	20.896000	22.330000	
0.100000	3.295148	3.340397	21.220000	20.920000	
0.100000	3.291553	3.298171	21.418000	21.030000	
0.100000	3.286895	3.460741	21.398000	18.250000	
0.100000	3.313138	3.189000	20.748000	22.790000	
0.100000	3.310218	3.262763	20.970000	21.040000	
0.100000	3.292008	3.380800	21.086000	21.190000	
0.100000	3.318452	3.307179	20.728000	21.970000	
0.100000	3.300985	3.316521	20.858000	21.460000	
0.100000	3.311706	3.359608	20.928000	20.240000	
0.100000	3.304296	3.271607	20.856000	21.640000	
0.100000	3.289310	3.235017	21.274000	22.410000	
0.100000	3.287325	3.384911	21.418000	19.260000	
0.100000	3.295964	3.192779	21.006000	23.760000	
0.100000	3.318970	3.267977	20.812000	22.000000	
0.100000	3.302313	3.279893	21.022000	21.950000	
0.100000	3.308807	3.365759	20.854000	21.100000	
0.100000	3.311058	3.266097	21.006000	21.390000	
0.100000	3.291980	3.373459	21.072000	19.450000	
0.100000	3.286289	3.210798	21.414000	22.820000	
0.100000	3.282317	3.279697	21.528000	21.960000	
0.100000	3.295307	3.330346	21.114000	21.670000	
0.100000	3.299186	3.276830	21.190000	21.780000	
0.100000	3.296075	3.205621	21.206000	22.880000	
0.100000	3.300932	3.225027	21.220000	22.570000	
0.100000	3.303826	3.261669	20.940000	21.440000	
0.100000	3.306861	3.263146	21.106000	21.670000	
0.100000	3.292023	3.241595	21.140000	21.910000	
0.100000	3.306140	3.267454	21.122000	22.550000	
0.010000	2.753680	2.658878	31.058000	33.580000	
0.010000	2.535320	2.585513	35.494000	34.740000	
0.010000	2.441885	2.507698	37.060000	36.740000	
0.010000	2.361162	2.478083	38.718000	37.560000	
0.010000	2.291034	2.428988	40.102000	38.290000	
0.010000	2.227614	2.403547	41.258000	38.600000	
0.010000	2.169255	2.371779	42.488000	39.180000	
0.010000	2.121288	2.355762	43.464000	39.890000	
0.010000	2.071504	2.337915	44.630000	40.060000	
0.010000	2.031059	2.348979	45.012000	39.900000	
0.010000	1.977100	2.329161	46.528000	40.790000	
0.010000	1.930116	2.335054	47.762000	39.570000	
0.010000	1.887533	2.339742	48.476000	40.490000	
0.010000	1.849616	2.342774	49.468000	40.960000	
0.010000	1.799182	2.318268	50.382000	41.150000	
0.010000	1.760749	2.293865	51.282000	41.750000	
0.010000	1.719397	2.317281	52.274000	41.770000	
0.010000	1.681275	2.307455	53.258000	41.830000	
0.010000	1.638314	2.343639	54.280000	41.450000	
0.010000	1.596292	2.366554	55.020000	41.190000	
0.010000	1.550429	2.358200	56.066000	41.800000	
0.010000	1.514300	2.357274	57.064000	42.290000	
0.010000	1.479487	2.368378	57.918000	42.510000	
0.010000	1.434261	2.417649	59.044000	41.100000	
0.010000	1.403121	2.411027	59.674000	41.890000	
0.010000	1.369334	2.420697	60.594000	42.060000	
0.010000	1.325880	2.496370	61.490000	40.900000	
0.010000	1.292004	2.478941	62.230000	41.980000	
0.010000	1.264908	2.526094	63.056000	41.330000	
0.010000	1.219793	2.567795	64.106000	41.300000	
0.010000	1.197891	2.596644	64.818000	40.820000	
0.010000	1.164917	2.614547	65.738000	40.510000	
0.010000	1.127993	2.594585	66.566000	41.030000	
0.010000	1.095949	2.658195	67.412000	41.210000	
0.010000	1.078739	2.654974	67.798000	41.330000	
0.010000	1.049307	2.743041	68.560000	40.650000	
0.010000	1.010487	2.745703	69.686000	40.950000	
0.010000	0.983959	2.763348	70.428000	40.440000	
0.010000	0.948611	2.827393	71.214000	40.890000	
0.010000	0.941899	2.807051	71.636000	41.300000	
0.010000	0.923727	2.851448	71.968000	40.870000	
0.001000	0.550796	2.812052	83.520000	43.450000	
0.001000	0.444073	2.898962	87.040000	43.790000	
0.001000	0.395714	2.940992	88.330000	43.820000	
0.001000	0.359640	2.995390	89.492000	43.780000	
0.001000	0.341884	3.039186	89.986000	43.650000	
0.001000	0.324263	3.075430	90.590000	43.740000	
0.001000	0.311450	3.099980	90.962000	43.870000	
